token,log_p_fake,log_p_real,log_odds
diego canamero,10.393424321242259,9.146578585001452,1.2468457362408074
canamero,10.393424321242259,9.146578585001452,1.2468457362408074
unido alternativo,10.327976826091483,9.08163721167253,1.246339614418952
calero,10.337411182967033,9.091150233118974,1.2462609498480592
candidata iniciativo,10.393424321242259,9.149634808325759,1.2437895129165
rosa garcia,10.393424321242259,9.152472579497687,1.2409517417445723
arturo torro,10.393424321242259,9.152565149343127,1.2408591718991318
lluis apesteguia,10.361248371220276,9.126515022575676,1.2347333486445997
calvino,9.29243562746177,8.058776241205079,1.2336593862566918
primo,9.911003620602624,8.68016575829939,1.2308378623032343
gloria calero,10.337216808024218,9.107213024545366,1.2300037834788515
investidura david,10.393424321242259,9.165701068449344,1.2277232527929147
equo asegurar,10.34102693636895,9.113989153254453,1.227037783114497
intenso debate,10.22408151393857,8.997196835006532,1.2268846789320378
apesteguia,10.339700908779216,9.117555326667201,1.2221455821120148
apesteguia santamaria,10.393424321242259,9.175552333843365,1.217871987398894
iir duque,10.284369063364343,9.068046263141365,1.2163228002229776
catalunya madrid,10.393424321242259,9.179213548350324,1.214210772891935
ejecutivo juan,10.320535589519128,9.108107608497773,1.2124279810213547
candidato equo,10.393424321242259,9.187067542963772,1.2063567782784865
teo garcia,10.393424321242259,9.19875650812434,1.1946678131179187
rufiar,9.369619883456409,8.176040912428332,1.1935789710280762
diana ribo,10.224769082860265,9.036674175016538,1.1880949078437268
cristín narbonar,10.393424321242259,9.215899236155796,1.1775250850864634
josu,10.060740624725689,8.883932353912105,1.1768082708135843
rufiar jordi,10.393424321242259,9.22200322845906,1.1714210927831985
iniciativo per,10.393424321242259,9.222149223430586,1.171275097811673
equo pnv,10.393424321242259,9.222152544772532,1.1712717764697267
cs coalicion,10.393424321242259,9.224144912699783,1.1692794085424758
isa serra,10.079591586029863,8.910897299243626,1.1686942867862378
diana,9.863145445889277,8.696868713122822,1.1662767327664554
catalunya congreso,10.332139749983318,9.167892616770072,1.1642471332132462
gobierno bng,10.393424321242259,9.230200358893171,1.1632239623490879
roberto,9.749831668642532,8.586998636341834,1.1628330323006981
equo num,10.322418766457954,9.160459293181457,1.1619594732764966
extesorero iniciativo,10.393424321242259,9.231515915622143,1.1619084056201157
lider coalicion,10.22766279825991,9.069994931250118,1.157667867009792
nancy,10.365043707107965,9.210265653597745,1.1547780535102206
isa,9.992661202705753,8.838005473784827,1.1546557289209254
dirigente iniciativo,10.393424321242259,9.248174908316747,1.1452494129255122
jesus teresa,10.393424321242259,9.249254794968165,1.1441695262740943
primo rivera,10.091557302143704,8.950321775598253,1.1412355265454508
pnv equo,10.393424321242259,9.260234160048148,1.1331901611941113
sacudir,10.172548283156639,9.042301592227268,1.1302466909293702
pelosi,10.36492625797297,9.234776051120566,1.130150206852404
eajpnv equo,10.393424321242259,9.264988471916764,1.128435849325495
pujol,9.599500141601224,8.471200777340718,1.1282993642605064
gabriel,9.192331182625695,8.06463648844557,1.127694694180125
catalunya pablo,10.393424321242259,9.275197586809737,1.1182267344325219
nancy pelosi,10.36480470151142,9.246616856091558,1.1181878454198628
alcon,10.19986315043088,9.083322704511682,1.116540445919199
pablo echenicar,9.920684911654526,8.804432621356046,1.1162522902984797
ejecutivo david,10.393424321242259,9.277883644907144,1.1155406763351152
teo,10.264515940685621,9.151885064200785,1.112630876484836
gobierno gallardo,10.393424321242259,9.28926299145989,1.1041613297823698
jxcat psoe,10.393424321242259,9.289867794704408,1.1035565265378509
equo pedir,10.393424321242259,9.292718735542945,1.1007055856993144
juan enciso,10.393424321242259,9.296395180316555,1.097029140925704
enciso,10.393424321242259,9.296395180316555,1.097029140925704
num equo,10.327414711073036,9.241727871011982,1.0856868400610544
pablo echenique,9.339833059774286,8.258383652207716,1.08144940756657
rodriguez vallejo,10.393424321242259,9.315718295511434,1.0777060257308246
jo cortes,10.393424321242259,9.316771936212056,1.0766523850302026
panorama politico,10.280730479730149,9.205648258318512,1.0750822214116376
pedro castillo,10.327834132766771,9.255902294903096,1.0719318378636746
escandalo corrupcion,10.170994448303105,9.100782713576494,1.0702117347266107
generalitat josep,10.337279511520567,9.267662265660528,1.069617245860039
secretario iniciativo,10.393424321242259,9.327998942620976,1.065425378621283
gloria,9.881041412828766,8.81572119461456,1.0653202182142056
rito maestre,9.925437308308002,8.863610410662641,1.0618268976453606
vazquez,9.823578499612614,8.76738860343615,1.0561898961764644
diputado equo,10.346153592559538,9.290752794345178,1.055400798214361
alfonso,9.031646672554082,7.977733180949914,1.0539134916041677
echenicar,9.850040810207787,8.796437180314058,1.053603629893729
catalunya asegurar,10.00936352585504,8.955843780762343,1.0535197450926965
monicar garcia,10.282856718310779,9.231145053198619,1.05171166511216
familia jordi,10.393424321242259,9.343597495577729,1.04982682566453
equo apoyar,10.393424321242259,9.343718758530226,1.0497055627120329
unida eajpnv,10.393424321242259,9.346141587102144,1.047282734140115
alvaro lapuertar,10.325963614426323,9.283420980678535,1.0425426337477877
lapuertar,10.325963614426323,9.283420980678535,1.0425426337477877
garcia,8.072961280724359,7.031873296545996,1.041087984178363
santiago elia,10.393424321242259,9.354469640280547,1.0389546809617123
luca,9.865265157412496,8.8287330952796,1.0365320621328955
gobierno anunciar,9.593645025574798,8.56009600775077,1.0335490178240274
moret,10.393424321242259,9.371075500306674,1.0223488209355853
gobierno cristina,10.393424321242259,9.376994407950775,1.0164299132914838
