token,importance,mean_frequency,normalized_importance
convocado,1.0376050223381425e-05,0.0005310108147660635,0.019540149455907263
tomado,1.2593096788757162e-05,0.0006446784745985483,0.019533888211035532
invasion,5.049582827289774e-06,0.00025854755429985095,0.01953050111211813
catalunya pdecat,7.38714635651659e-07,3.7828476831235633e-05,0.019527487492021184
huida,3.696481060462921e-06,0.00018933292134049767,0.01952360693895511
lobato,2.6486806618536294e-06,0.00013574025106316028,0.01951271732880376
escanos pp,1.1460897209126364e-06,5.8765288345944e-05,0.01950250310460076
disminucion,1.8338060725948457e-06,9.404935107771682e-05,0.019498131071084605
derecho vida,7.236581718313198e-07,3.7165357901236616e-05,0.01947078521264635
arabia,6.180923589459286e-06,0.0003175894728308925,0.01946193012140652
congreso aitor,8.701416560788264e-07,4.47662455417698e-05,0.019437015736582366
preservar,3.674119884610474e-06,0.00018906388863277146,0.01943311585339819
vulnerar derecho,1.2925968473875945e-06,6.652775703018936e-05,0.019429144705064023
cerrar evento,4.943359215138528e-07,2.5449712311154356e-05,0.019423264679990854
discusion,3.9772049548982376e-06,0.00020486385409468496,0.019413798293874473
patricia,3.599450931795679e-06,0.0001854067181933846,0.019413706003551412
zoido,5.003858052754894e-06,0.0002578986727795814,0.01940234355020501
cristiano,1.1365452857960728e-06,5.859749458939118e-05,0.019395469009230074
vean,2.204781610136407e-06,0.00011375066491578258,0.019382411780686847
desestabilizar,1.8101467562104816e-06,9.353533930349164e-05,0.01935233696004725
extraordinario jueves,2.430990119705293e-07,1.2560745868506011e-05,0.019352326859279272
num agosto,5.964204384874922e-06,0.0003082009979014954,0.01935160844343762
honor,8.656516586734027e-06,0.0004475637104498772,0.0193413742965409
principios ano,9.372828308199872e-07,4.847982196002605e-05,0.019333063940062855
transformar,2.3675882044395656e-06,0.0001224809815780576,0.019330093895735225
prision permanente,3.092752090600666e-06,0.00016004289749811733,0.019324398736521947
resultado muerte,3.509132364677451e-07,1.8160719145162686e-05,0.019321586996416566
extranjeria,2.0469742121745787e-06,0.00010600391314862015,0.019310182437531895
bassa,3.4290054777855193e-06,0.00017758025032635282,0.01930950182794529
acuso,6.838271054802851e-06,0.00035466894147129636,0.019280661412792086
analisis,1.3842512964380686e-05,0.0007180737671230614,0.01927725857829565
ejecutivo regional,2.2650971971924756e-06,0.00011754401358680873,0.019270040710996795
sevillano,1.5444770714600909e-06,8.02070936930547e-05,0.01925587556500958
esperanza garcia,2.813671355979486e-07,1.4619181351959654e-05,0.01924511938836072
universidad complutense,2.2125368826302198e-06,0.00011500045557903247,0.019239207638634605
acelerar,3.893749756527535e-06,0.0002027321809670652,0.019206277620435946
oswaldo,3.138549488897109e-07,1.6347298900571667e-05,0.019198018754032938
revestir,2.9682281094016815e-07,1.5489253682078918e-05,0.01916190767641012
prioridad,8.03686493939162e-06,0.00041946311781071563,0.019159838942453423
pleno extraordinario,4.42314129714036e-06,0.00023100054383521653,0.01914766985408366
toalla,1.5006128975775545e-06,7.83787485838595e-05,0.01914541606333464
sede genova,2.5212769753478077e-06,0.0001317608619560448,0.019135104330788036
reformar,7.567962027876229e-06,0.0003957883397743435,0.019121187124926227
partido pedro,3.3886123780147215e-07,1.772211290674434e-05,0.019119735882996165
ortuzar,2.0953166278191757e-06,0.00010974571574270444,0.019092294595234524
batalla,1.2246875955287085e-05,0.0006416095858584849,0.019087708690000142
economico generen,2.6025405473887675e-07,1.36352879833399e-05,0.019085403231204962
publico privado,1.459403654011681e-06,7.650730811505358e-05,0.01907510033834525
espionaje diaz,3.900470399378157e-07,2.04497723359052e-05,0.019072484575705453
vara,4.275249321737998e-06,0.0002245147500421529,0.019042090904247556
logo,1.182684116599856e-06,6.219197249844702e-05,0.01901636260639235
intencion,2.7292411227118996e-05,0.001435664254038958,0.019010288888957394
candidato republicano,9.739899019041456e-07,5.1253394850400584e-05,0.019003051440700667
sistema politico,2.3228342498868575e-06,0.00012230995159804938,0.0189912204879281
valencia seguir,2.426644016594148e-07,1.277835382501119e-05,0.018988784955971928
pieza num,1.4708440532609243e-06,7.747751325474597e-05,0.01898389619874162
recinto,3.0023130369212533e-06,0.00015822002238092043,0.018975436966227673
colombia,5.483678460261561e-06,0.0002890152649627277,0.01897359811555502
cuantia,4.061432451825557e-06,0.00021409626728242237,0.018970034056847607
adulterado,1.460387278674658e-07,7.706274776554929e-06,0.01894816677766659
gomez,1.0197698648826477e-05,0.0005382575798208012,0.01894572428779775
